,2011,2012,2013,2014,2015
India,440,510,80,480,740
Philippines,510,360,70,310,690
USA,680,320,320,320,560
Nepal,240,200,10,230,490
"UK, CIs & IOM",310,200,60,260,330
Pakistan,80,50,10,130,310
Vietnam,140,130,30,230,270
Indonesia,250,130,30,110,260
China,250,170,30,130,240
New Zealand,210,150,90,130,200
Sri Lanka,140,80,20,100,190
Timor-Leste,30,80,10,80,180
Bangladesh,50,50,10,80,160
Fiji,50,40,10,120,150
Hong Kong,40,30,0,40,120
Thailand,120,90,10,90,110
Vanuatu,0,60,190,220,100
Ireland,40,20,10,30,100
France,200,80,10,40,100
