State,2011,2012,2013,2014,2015,Total
New Zealand,17370,14410,9910,7850,8060,57600
China,4620,5310,5740,6760,7870,30300
"UK, CIs & IOM",9650,8900,6660,6450,6570,38230
India,3410,4400,7100,6180,5630,26720
Taiwan,2910,4210,3670,3330,3280,17400
"Korea, South",3670,3810,3020,3110,3000,16610
Philippines,3200,3170,2820,2800,2670,14660
USA,3770,3070,2860,2310,2490,14500
Japan,2040,2020,1830,1970,2100,9960
Malaysia,1500,1540,1350,1500,1800,7690
Brazil,790,760,1290,1380,1770,5990
South Africa,2250,1920,1450,1440,1610,8670
Singapore,2320,2060,1320,1440,1370,8510
Thailand,820,970,980,1080,1280,5130
Canada,1680,1500,1380,1230,1180,6970
Hong Kong,840,1100,1140,1150,1100,5330
Germany,1100,1010,950,1040,1090,5190
Vietnam,990,1200,1360,1160,1010,5720
PNG,900,900,820,770,980,4370
